Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected
2025-01-01,14:49,Southwell,Alnilam,40,6.5,98,1,lucky15,williamhill,Placed,HTQBBEXO
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,lucky15,bwin,Placed,EJKKLFDG
2025-01-01,13:00,Exeter,Risk De Pluie,257,5.5,102,0,lucky15,888sport,Placed,BRQFAECP
2025-01-01,11:45,Fakenham,Crac De Megaudais,106,8,111,1,patent,888sport,Placed,FEYKZJMT
2025-01-02,17:10,Newcastle,Gustav Graves,757,13,100,0,single,888sport,Placed,CGYRCANL
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,trixie,888sport,Placed,EYKRFYTU
2025-01-01,13:04,Southwell,Russian Ruler,89,13,100,0,single,bwin,Placed,LZOAOAIB
2025-01-01,14:49,Southwell,Afadil,49,9.5,102,0,patent,betfred,Placed,FNWUFBFU
2025-01-01,13:00,Exeter,Risk De Pluie,140,5.5,102,0,single,geoffbanks,Placed,AAEKCWOI
2025-01-01,14:05,Cheltenham,Lisnamult Lad,64,17,100,0,single,sportingbet,Placed,VYXWBEDE
2025-01-02,14:50,Ayr,Fonzerelli,40,17,94,NR,lucky15,williamhill,Placed,HQIOPKFM
2025-01-01,14:14,Southwell,Masked Dance,50,12,96,NR,lucky15,bet600,Placed,TGMACNEU
2025-01-01,12:30,Tramore,Rockbrook,63,5.5,106,1,lucky15,bet600,Placed,JJRAACSV
2025-01-01,14:14,Southwell,Molto Bene,149,6,97,0,lucky15,williamhill,Placed,LNTXQVIN
2025-01-01,13:50,Fairyhouse,Crossing The Bar,60,11,100,0,single,betgoodwin,Placed,GINLDKER
2025-01-01,13:39,Southwell,Socialiser,186,19,97,0,lucky15,888sport,Placed,BRQFAECP
2025-01-01,12:30,Tramore,Rockbrook,63,5.5,106,1,lucky15,bet600,Placed,RVOFZJTU
2025-01-01,16:40,Newcastle,Bellagio Man,58,11,96,0,lucky15,888sport,Placed,DIMDPCMM
2025-01-01,15:10,Fakenham,For Gina,50,8.5,109,0,trixie,betfred,Placed,PIJKTLKE
2025-01-01,14:40,Cheltenham,Catch Him Derry,71,6.5,98,0,lucky15,bet600,Placed,TGMACNEU
2025-01-01,12:55,Cheltenham,Newton Tornado,128,11,96,0,lucky15,williamhill,Placed,HTQBBEXO
2025-01-02,13:25,Huntingdon,Slievegar,0,7,92,0,lucky15,williamhill,Placed,TUSBTRGK
2025-01-01,14:24,Newcastle,Ribba Hill,21,10,104,0,double,888sport,Placed,EOUCIJGH
2025-01-01,14:40,Cheltenham,One Big Bang,134,4,103,0,patent,888sport,Placed,KHHCFVVE
2025-01-01,13:55,Catterick,Travis Wheatley,44,23,96,0,lucky15,williamhill,Placed,UHQSXBOH
2025-01-01,14:50,Tramore,Vaureal,167,11,120,0,lucky15,geoffbanks,Placed,OKZRNRTV
2025-01-01,14:14,Southwell,Mermaids Cave,147,9,102,NR,trixie,888sport,Placed,SHTPYLPO
2025-01-01,14:30,Catterick,Ensel Du Perche,85,9.5,97,1,lucky15,bwin,Placed,DVTRSYAG
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,boylesports,Placed,TIBYZPNN
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,williamhill,Placed,CXLAAFEF
2025-01-02,14:27,Newcastle,Rubellite,76,4.5,100,1,single,geoffbanks,Placed,MLICZCOU
2025-01-01,15:10,Fakenham,For Gina,50,8.5,109,0,single,bet600,Placed,KXSKZHNI
2025-01-01,15:10,Fakenham,For Gina,42,8.5,109,0,single,betgoodwin,Placed,MOBGUYQR
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,trixie,888sport,Placed,SHTZZVJD
2025-01-01,14:30,Catterick,Ensel Du Perche,85,8.5,97,1,lucky15,bet600,Placed,TGMACNEU
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,gentlemanjim,Placed,YSOPGPHM
2025-01-02,15:10,Huntingdon,Our Pink Lady,57,10,95,0,lucky15,geoffbanks,Placed,HVHMSEGQ
2025-01-01,15:10,Fakenham,Morfee,69,11,100,0,single,sportingbet,Placed,XNREZCOS
2025-01-01,14:14,Southwell,Mermaids Cave,73,9.5,97,NR,lucky15,betfred,Placed,JSSJBMER
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,fafabet,Placed,JSFYVUFS
2025-01-01,15:34,Newcastle,Secret Guest,77,8,118,0,single,geoffbanks,Placed,RONEVCWX
2025-01-02,14:35,Huntingdon,Kaituna River,124,3,100,0,single,sportingbet,Placed,QFNHBUFX
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,gentlemanjim,Placed,YSOPGPHM
2025-01-02,16:40,Newcastle,Impeach,89,12,96,0,lucky15,williamhill,Placed,DVBEXKCF
